# Generated by G. Mace on Thu Feb  9 16:34:12 2017
# Uncertainty is the standard deviation of all epochs.
#======================================================
# Wavelength         Norm. Flux          Uncertainty   
#  (microns)          (counts)            (counts)     
#======================================================
       1.8898850      0.43681310      0.34131525
       1.8898920      0.19607802      0.27197828
       1.8898989     0.092668435      0.34822089
       1.8899059      0.12529653      0.52547955
       1.8899129      0.17613077      0.68282419
       1.8899198      0.23284632      0.73740138
       1.8899268      0.29440932      0.71034175
       1.8899337      0.36201666      0.62120193
       1.8899407      0.43413793      0.48654544
       1.8899476      0.50888267      0.32633594
       1.8899546      0.58436038      0.19869744
       1.8899615      0.67105181      0.17738277
       1.8899685      0.79561308      0.26235306
       1.8899754      0.94520286      0.38854635
       1.8899824       1.0985047      0.48577581
       1.8899893       1.1885674      0.55707978
       1.8899963       1.2085110      0.63465114
       1.8900032       1.1347780      0.70618475
       1.8900102      0.95618209      0.81219587
       1.8901352       2.0459964      0.80272597
       1.8901421       1.8507060      0.59769229
       1.8901491       1.6046184      0.47502495
       1.8901560       1.3607276      0.51622303
       1.8901629       1.3252675      0.72329431
       1.8902393       1.6526368      0.78696246
       1.8902462       1.7750759      0.51915400
       1.8902531       1.8890602      0.38829283
       1.8902601       1.9013382      0.40972163
       1.8902670       1.8102900      0.55145991
       1.8902739       1.7230675      0.75738350
       1.8902947       1.7338902      0.86966424
       1.8903017       1.7818284      0.60684742
       1.8903086       1.8470132      0.42425332
       1.8903155       1.8140383      0.40881568
       1.8903225       1.6997347      0.54970413
       1.8903294       1.5374735      0.69230726
       1.8903363       1.4400146      0.64501700
       1.8903433       1.3764897      0.56184002
       1.8903502       1.3477811      0.52390050
       1.8903571       1.3734787      0.65411848
       1.8903641       1.3713728      0.79899871
       1.8904056      0.95607696      0.84232644
       1.8904126      0.72493893      0.80378062
       1.8904195      0.72484605      0.80928037
       1.8904264      0.88628838      0.80869866
       1.8904333       1.1240181      0.76948079
       1.8904403       1.3277746      0.70113448
       1.8904472       1.2787789      0.64272217
       1.8904541       1.0926043      0.63751648
       1.8904610      0.89421066      0.69036238
       1.8904680      0.89740310      0.76162120
       1.8904749      0.98682261      0.78701673
       1.8904818       1.0602393      0.73551743
       1.8904887       1.1041938      0.60802318
       1.8904957       1.0295576      0.45579523
       1.8905026      0.99104387      0.38144346
       1.8905095       1.0351961      0.41800614
       1.8905164       1.1793269      0.52994355
       1.8905234       1.2721216      0.62445193
       1.8905303       1.2796446      0.67622733
       1.8905372       1.2747027      0.68867616
       1.8905441       1.2578346      0.66654981
       1.8905510       1.2324066      0.61526572
       1.8905580       1.1990442      0.54155691
       1.8905649       1.1581517      0.45415464
       1.8905718       1.1284249      0.36811903
       1.8905787       1.1507565      0.31063787
       1.8905856       1.2458470      0.30780392
       1.8905926       1.3288092      0.36443751
       1.8905995       1.3291529      0.46019800
       1.8906064       1.2292830      0.56631244
       1.8906133       1.3824781      0.64644522
       1.8906202       1.5613899      0.70655129
       1.8906271       1.4519432      0.73455391
       1.8906341       1.0776653      0.74366018
       1.8906410      0.70708762      0.71428312
       1.8906479      0.66430038      0.65951606
       1.8906548      0.65374806      0.59188477
       1.8906617      0.64707819      0.52637984
       1.8906686      0.59034457      0.48304161
       1.8906755      0.47602984      0.47683336
       1.8906825      0.32831961      0.51455368
       1.8906894      0.23474696      0.58383757
       1.8906963      0.21988252      0.66666251
       1.8907032      0.29127590      0.74634799
       1.8907101      0.39579399      0.81179659
       1.8907170      0.49862663      0.85040486
       1.8907239      0.58255572      0.84728971
       1.8907308      0.65163760      0.79365096
       1.8907378      0.70648462      0.70499656
       1.8907447      0.60736506      0.61973280
       1.8907516      0.35936753      0.57224162
       1.8907585     0.018967770      0.57329124
       1.8907654     -0.17835785      0.61352591
       1.8907723     -0.23027798      0.67594858
       1.8907792     -0.18627777      0.74728322
       1.8907861     -0.13549704      0.81783303
       1.8907930    -0.079180419      0.88234789
       1.8908414      0.36549270      0.87151401
       1.8908483      0.42129009      0.74455639
       1.8908552      0.47142177      0.57953849
       1.8908621      0.64465627      0.41049960
       1.8908690      0.83521535      0.35550068
       1.8908759       1.0185008      0.32190306
       1.8908828      0.92320977      0.34671539
       1.8908897      0.80363130      0.36026609
       1.8908966      0.68474872      0.41112771
       1.8909035      0.70803739      0.40348767
       1.8909104      0.74329396      0.29256291
       1.8909173      0.81667726      0.23710383
       1.8909242      0.86941245      0.32069870
       1.8909311      0.88361665      0.50779628
       1.8909380      0.83382360      0.67860442
       1.8909449      0.78035317      0.78287649
       1.8909518      0.72391973      0.86203608
       1.8910139      0.23013957      0.88333241
       1.8910208      0.20745821      0.83307392
       1.8910277      0.18010350      0.78195567
       1.8910346      0.14696539      0.73018400
       1.8910415      0.11124132      0.67817632
       1.8910483     0.076966576      0.62560477
       1.8910552     0.054143688      0.57231112
       1.8910621     0.043194082      0.51921383
       1.8910690     0.049141682      0.46825118
       1.8910759     0.064282013      0.42166914
       1.8910828     0.088994295      0.38216319
       1.8910897      0.12924036      0.34536702
       1.8910966      0.19303258      0.31248888
       1.8911035      0.34605851      0.30190350
       1.8911104      0.56676077      0.33586880
       1.8911173      0.76587600      0.40930550
       1.8911242      0.91137185      0.48199985
       1.8911310       1.0211753      0.50742215
       1.8911379       1.0268127      0.48546569
       1.8911448      0.98726379      0.46219712
       1.8911517      0.89634841      0.47311263
       1.8911586      0.96339957      0.51330870
       1.8911655       1.1066770      0.55280117
       1.8911724       1.3455796      0.59064268
       1.8911793       1.4581884      0.65398685
       1.8911862       1.3421324      0.77944144
       1.8912619      0.95735451      0.69742819
